DialogueTextID,Langauage,Mission,TextType,Speaker,Text,Info
DTxt_KR_T_01,KR,Tutorial,Dialogue,Frank,왔나? 네가 오늘부터 구를 신입이군.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_02,KR,Tutorial,Dialogue,Frank,인상은··· 쓸만하군. 하지만 중요한 건 그게 아니야.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_03,KR,Tutorial,Dialogue,Frank,교도관으로 근무할 때 가장 중요한 건 ‘운’이랑 ‘눈치’다.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_04,KR,Tutorial,Dialogue,Frank,"일단, 운이 정말 중요해. 사고가 안 나야 하거든.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_05,KR,Tutorial,Dialogue,Frank,"잘 봐, 여기 화이트보드 보이지? 무사고 며칠 차라고 적혀 있지?",튜토리얼 텍스트 ver.260106
DTxt_KR_T_06,KR,Tutorial,BoardSee,Frank,그래. 0일이다. 어제도 너 같은 애송이가 한 놈 실려 나갔거든.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_07,KR,Tutorial,BoardSee,Frank,이 빌어먹을 7구역은 사건 사고가 끊이지 않아.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_08,KR,Tutorial,BoardSee,Frank,"매일 사고가 터지고, 이틀만 평화로워도 오래 간 거지.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_09,KR,Tutorial,BoardSee,Frank,그래서 우리 목표는 7일이다. 딱 일주일이라고.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_10,KR,Tutorial,BoardSee,Frank,오늘부터 사고 없이 7일을 버티면 넌 정규직이다. 하지만,튜토리얼 텍스트 ver.260106
DTxt_KR_T_11,KR,Tutorial,BoardSee,Frank,단 한 번이라도 사고가 터지면 넌 그날로 짐 싸서 나가는 거야.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_12,KR,Tutorial,BoardSee,Frank,그리고 우리는 다시 0일차부터 시작하는 거고. 내 말 이해했나?,튜토리얼 텍스트 ver.260106
DTxt_KR_T_13,KR,Tutorial,BoardSee,Frank,좋다.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_14,KR,Tutorial,BoardSee,Frank,일단 근무를 위해 필요한 것부터 챙기자고.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_15,KR,Tutorial,BoardSee,Frank,일단 진압 봉을 줘야 하는데··· 캐비닛 앞에 상자가 쌓여 있군.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_16,KR,Tutorial,BoardSee,Frank,"상자 앞에서 E 키를 누르면 상자를 들 수 있고, 다시 E 키를 누르면 내려놓을 수 있다.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_17,KR,Tutorial,BoxOpened,Frank,다른 물건을 들거나 내려놓을 때도 마찬가지로 하면 된다.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_18,KR,Tutorial,BoxOpened,Frank,"자, 상자를 치웠으니 캐비닛을 열고, 그 안에 있는 진압 봉을 챙겨라. 둘 다 E키로 할 수 있다.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_19,KR,Tutorial,BatonEquipped,Frank,교도관이라면 진압 봉은 필수지. 죄수 놈들은 말로 해서는 못 알아듣거든.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_20,KR,Tutorial,BatonEquipped,Frank,"마우스 왼쪽 키를 누르면 공격할 수 있다. 자, 나한테 한 번 휘둘러봐.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_21,KR,Tutorial,NPCHit,Frank,"생각보다는 꽤 잘 치는군. 튼튼한 놈들도 네, 다섯 대면 제압할 수 있겠어.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_22,KR,Tutorial,NPCHit,Frank,그런데 교도소 근무는 몸만 잘 쓰면 된다고 해결되는 게 아니야.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_23,KR,Tutorial,NPCHit,Frank,아까 내가 운이랑 뭐가 중요하다고 했지?,튜토리얼 텍스트 ver.260106
DTxt_KR_T_24,KR,Tutorial,NPCHit,Frank,"그래, 눈치다.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_25,KR,Tutorial,NPCHit,Frank,"자, 성경 책을 하나 줄 테니까 잘 살펴봐",튜토리얼 텍스트 ver.260106
DTxt_KR_T_26,KR,Tutorial,NPCHit,Frank,"마우스 오른쪽 버튼을 이용하면 돌려볼 수 있고, 왼쪽 버튼을 클릭하면 책을 열어볼 수 있다.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_27,KR,Tutorial,BookRead,Frank,송곳이 들어 있지?,튜토리얼 텍스트 ver.260106
DTxt_KR_T_28,KR,Tutorial,BookRead,Frank,이런 식으로 죄수 놈들은 멀쩡한 물건에 위험한 것들을 숨겨 놓는다.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_29,KR,Tutorial,BookRead,Frank,그냥 겉보기에 이상 없다고 괜찮구나- 했다가는 바로 (목 긋는 시늉) 잘리는 거지.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_30,KR,Tutorial,BookRead,Frank,"그래서 눈치를 잘 채야 해. 뭐가 이상한지, 뭐가 멀쩡한 건지 잘 파악하는 게 중요하거든.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_31,KR,Tutorial,BookClose,Frank,자신이 없다면 그냥 감방 안을 샅샅이 뒤지라고.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_32,KR,Tutorial,BookClose,Frank,"감방 구석구석, 벽돌 하나하나까지 다.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_33,KR,Tutorial,BookClose,Frank,그래. 내가 얘기해줄 수 있는 건 대충 이 정도다.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_34,KR,Tutorial,BookClose,Frank,"당장 일손이 부족하니, 더 가르쳐줄 시간 따위는 없단 말이지.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_35,KR,Tutorial,BookClose,Frank,나머지는 구르면서 배워라.,튜토리얼 텍스트 ver.260106
DTxt_KR_T_36,KR,Tutorial,BookClose,Frank,"소장님께 말을 걸어서 네가 오늘 해야 하는 미션을 체크하고, 직접 일해보라고.",튜토리얼 텍스트 ver.260106
DTxt_KR_T_37,KR,Tutorial,BookClose,Frank,좀 오래 버텨서 네 쓸모를 증명해봐.,튜토리얼 텍스트 ver.260106
DTxt_KR_M01_01,KR,Mission01,Dialogue,Victor,자네도 들리나?,(브리핑)교도소장 대사 텍스트 1
DTxt_KR_M01_02,KR,Mission01,Dialogue,Victor,멍청한 죄수들이 여기가 교도소인 것도 잊고 또 시끄럽게 구는구만.,(브리핑)교도소장 대사 텍스트 2
DTxt_KR_M01_03,KR,Mission01,Dialogue,Victor,이대로 놔두면 시끄러운 틈을 타서 수상한 짓을 하는 놈이 생길 게 분명해!,(브리핑)교도소장 대사 텍스트 3
DTxt_KR_M01_04,KR,Mission01,Dialogue,Victor,가서 시끄럽게 하는 놈들을 다 두들겨 패고 오게.,(브리핑)교도소장 대사 텍스트 4
DTxt_KR_M01_05,KR,Mission01,Fin,Victor,다 조용히 시켰나?,(정산)교도소장 대사 공통 텍스트
DTxt_KR_M01_06,KR,Mission01,Complete,Victor,"하여튼, 패야만 말을 듣는단 말이지.",(정산)교도소장 대사 성공 텍스트
DTxt_KR_M01_07,KR,Mission01,Fail,Victor,죄수들을 조용히 시키는 것조차 못 하는 건가? 자네는 해고일세!,(정산)교도소장 대사 실패 텍스트
DTxt_KR_M01_08,KR,Mission01,Dialogue,Frank,분명 아까 조용히 하라고 주의를 주고 왔는데 왜 또 시끄러운 거야…,프랭크가 책상에서 하는 대사
DTxt_KR_M01_09,KR,Mission01,Dialogue,Frank,진짜 기절할 때까지 패든가 해야지,프랭크가 책상에서 하는 대사
DTxt_KR_M02_01,KR,Mission02,Dialogue,Victor,쥐새끼가 정보를 가져왔다. 죄수 놈들이 감방 안에 무기를 숨겨 놨다는군.,(브리핑)교도소장 대사 텍스트 1
DTxt_KR_M02_02,KR,Mission02,Dialogue,Victor,밖에서도 사고 쳐서 들어온 놈들이 또 무기로 사고를 치려고 해?,(브리핑)교도소장 대사 텍스트 2
DTxt_KR_M02_03,KR,Mission02,Dialogue,Victor,"그렇게는 못 두지. 암, 그렇게는 못 두고 말고.",(브리핑)교도소장 대사 텍스트 3
DTxt_KR_M02_04,KR,Mission02,Dialogue,Victor,감방을 샅샅이 뒤져서 전부 압수해 와.,(브리핑)교도소장 대사 텍스트 4
DTxt_KR_M02_05,KR,Mission02,Fin,Victor,무기를 전부 찾았나?,(정산)교도소장 대사 공통 텍스트
DTxt_KR_M02_06,KR,Mission02,Complete,Victor,"어휴, 적어도 오늘은 무기 때문에 사고날 일은 없겠군.",(정산)교도소장 대사 성공 텍스트
DTxt_KR_M02_07,KR,Mission02,Fail,Victor,자네가 놓친 무기 때문에 죄수 한명이 실려나갔어! 자네는 해고야!,(정산)교도소장 대사 실패 텍스트
DTxt_KR_M02_08,KR,Mission02,Dialogue,Frank,놈들이 숨겨놓은 무기를 찾으려면 감방 안을 구석구석 꼼꼼히 봐야해,프랭크가 책상에서 하는 대사
DTxt_KR_M02_09,KR,Mission02,Dialogue,Frank,네가 방 안을 살피는 틈을 타서 덤벼드는 놈들이 있을 수 있으니까 주의하라고,프랭크가 책상에서 하는 대사
DTxt_KR_M03_01,KR,Mission03,Dialogue,Victor,이 빌어먹을 7구역에는 대체 무슨 문제가 있는 걸까?,(브리핑)교도소장 대사 텍스트 1
DTxt_KR_M03_02,KR,Mission03,Dialogue,Victor,교도소에 들어오자마자 허튼 짓거리를 하는 놈들이 많단 말이지.,(브리핑)교도소장 대사 텍스트 2
DTxt_KR_M03_03,KR,Mission03,Dialogue,Victor,오늘 새로 들어온 놈들 중에도 이상한 짓거리를 하는 놈들이 있을 게 분명해.,(브리핑)교도소장 대사 텍스트 3
DTxt_KR_M03_04,KR,Mission03,Dialogue,Victor,"교도소를 순찰하면서, 이상한 짓거리를 하는 놈들이 있으면 전부 두들겨 패고 와.",(브리핑)교도소장 대사 텍스트 4
DTxt_KR_M03_05,KR,Mission03,Fin,Victor,이상한 죄수들은 전부 두들겨 패고 왔나?,(정산)교도소장 대사 공통 텍스트
DTxt_KR_M03_06,KR,Mission03,Complete,Victor,"생각보다 싸움 좀 하는군, 그래?",(정산)교도소장 대사 성공 텍스트
DTxt_KR_M03_07,KR,Mission03,Fail,Victor,맛이 간 놈들만 두들겨 패고 오라는 게 그렇게 어려웠나? 자네는 해고일세!,(정산)교도소장 대사 실패 텍스트
DTxt_KR_M03_08,KR,Mission03,Dialogue,Mimi,"어머, 신참이야? 귀엽게 생겼네",미미 대사 1
DTxt_KR_M03_09,KR,Mission03,Dialogue,Mimi,나를 위해 비누 좀 주워주지 않을래? 자기야?,미미 대사 2
DTxt_KR_M03_10,KR,Mission03,Dialogue,Mimi,"비누를 줍지 않는다면, 상대해주지 않을 거야. 후후후···.",미미 대사 3
DTxt_KR_M03_11,KR,Mission03,Dialogue,Frank,"멀쩡한 척을 하다가도, 정작 감방 안에 들어가면 속내를 드러내는 놈들이 있지",프랭크가 책상에서 하는 대사
DTxt_KR_M03_12,KR,Mission03,Dialogue,Frank,대놓고 문제가 있는 티를 내주면 일하기 좀 편할 텐데 말이야,프랭크가 책상에서 하는 대사
DTxt_KR_M04_01,KR,Mission04,Dialogue,Victor,벌써 자네가 출근할 시간인가? 아직 프랭크가 안 왔는데?,(브리핑)교도소장 대사 텍스트 1
DTxt_KR_M04_02,KR,Mission04,Dialogue,Victor,"이거 이상하군. 자네, 프랭크가 어디 갔는지 아나?",(브리핑)교도소장 대사 텍스트 2
DTxt_KR_M04_03,KR,Mission04,Dialogue,Victor,"분명 아까 순찰하러 갔는데, 아직도 돌아오지 않았다니.",(브리핑)교도소장 대사 텍스트 3
DTxt_KR_M04_04,KR,Mission04,Dialogue,Victor,교도소로 내려가서 프랭크를 찾아보게.,(브리핑)교도소장 대사 텍스트 4
DTxt_KR_M04_05,KR,Mission04,Fin,Victor,프랭크를 찾았나?,(정산)교도소장 대사 공통 텍스트
DTxt_KR_M04_06,KR,Mission04,Complete,Victor,뭐? 죄수들이 프랭크로 변장하고 있었다고? 이제는 별 짓을 다 하는군.,(정산)교도소장 대사 성공 텍스트
DTxt_KR_M04_07,KR,Mission04,Fail,Victor,뭐? 죄수랑 프랭크를 헷갈렸다고? 자네 눈은 장식인가? 자네는 해고야!,(정산)교도소장 대사 실패 텍스트
DTxt_KR_M04_08,KR,Mission04,Complete,Frank,"휴. 조금만 늦었어도 내 머리통이 날아갈 뻔했다. 다행히 눈치는 챙겼나 봐, 신참?",가짜 프랭크 진압 성공 텍스트
DTxt_KR_M04_09,KR,Mission04,Fail,Frank,너 지금 누굴 때리는 거야 멍청아!,가짜 프랭크 진압 실패 텍스트
DTxt_KR_M04_10,KR,Mission04,FrankArgue,Frank,"빌어먹을 죄수 놈들. 이제는 하다, 하다 나로 변장을 해?",B1층 진입 시 출력되는 텍스트 1
DTxt_KR_M04_11,KR,Mission04,FrankArgue,Frank,"뭐라는 거냐, 가짜! 은근슬쩍 나인 척을 하고 있군!",B1층 진입 시 출력되는 텍스트 2
DTxt_KR_M04_12,KR,Mission04,FrankArgue,Frank,마침 잘 왔다 신참. 네가 보기엔 누가 진짜 같나?,B1층 진입 시 출력되는 텍스트 3
DTxt_KR_M04_13,KR,Mission04,FrankArgue,Frank,"애송아, 속지 마라. 누가 진짜인지, 잘 살펴보고 판단해.",B1층 진입 시 출력되는 텍스트 4
DTxt_KR_M04_14,KR,Mission04,FrankArgue,Frank,그래! 다른 놈들이 못 움직이게 견제하고 있을 테니 네가 가짜들을 진압해!,B1층 진입 시 출력되는 텍스트 5
DTxt_KR_M05_01,KR,Mission05,Dialogue,Victor,"그러고 보니, 슬슬 소지품 검사를 할 때가 됐지?",(브리핑)교도소장 대사 텍스트 1
DTxt_KR_M05_02,KR,Mission05,Dialogue,Victor,주기적으로 안 해주면 교도소 안에 쓸데없는 것들이 돌아다닌단 말이지.,(브리핑)교도소장 대사 텍스트 2
DTxt_KR_M05_03,KR,Mission05,Dialogue,Victor,이것들이 나를 아주 우습게 아는 모양이야.,(브리핑)교도소장 대사 텍스트 3
DTxt_KR_M05_04,KR,Mission05,Dialogue,Victor,교도소에 있어서는 안 될 물품들을 전부 압수하고 와!,(브리핑)교도소장 대사 텍스트 4
DTxt_KR_M05_05,KR,Mission05,Fin,Victor,죄수들이 숨겨둔 금지 물품들은 찾았나?,(정산)교도소장 대사 공통 텍스트
DTxt_KR_M05_06,KR,Mission05,Complete,Victor,"정말이지, 어디서 계속 들여오는 건지 모르겠어.",(정산)교도소장 대사 성공 텍스트
DTxt_KR_M05_07,KR,Mission05,Fail,Victor,이렇게 일을 대충 하면 죄수들이 나를 만만하게 보지 않겠나! 이 따위로 할 거면 때려 치워!,(정산)교도소장 대사 실패 텍스트
DTxt_KR_M05_08,KR,Mission05,Dialogue,Frank,감방을 뒤질 때는 벽이나 바닥도 항상 꼼꼼하게 살펴보는 게 좋을 거야.,프랭크가 책상에서 하는 대사
DTxt_KR_M05_09,KR,Mission05,Dialogue,Frank,녀석들은 정말 온갖 곳에 물건을 숨겨 놓는단 말이지.,프랭크가 책상에서 하는 대사
DTxt_KR_M06_01,KR,Mission06,Dialogue,Victor,"제정신이 아니군, 제정신이 아니야.",(브리핑)교도소장 대사 텍스트 1
DTxt_KR_M06_02,KR,Mission06,Dialogue,Victor,"제 7구역에 수감 중인 갱단원 중 한 명이 교도소에 총기를 밀반입하려다 걸린 후, 도망쳤다.",(브리핑)교도소장 대사 텍스트 2
DTxt_KR_M06_03,KR,Mission06,Dialogue,Victor,"용의자 셋 중 하나가 범인인 건 확실한데, 얼굴을 가리고 있던 탓에 누구인지는 모르겠단 말이지",(브리핑)교도소장 대사 텍스트 3
DTxt_KR_M06_04,KR,Mission06,Dialogue,Victor,용의자들과 대화해 진짜 범인을 찾아내게. 셋 중 거짓말 하는 놈이 범인이겠지.,(브리핑)교도소장 대사 텍스트 4
DTxt_KR_M06_05,KR,Mission06,Fin,Victor,범인은 찾았나?,(정산)교도소장 대사 공통 텍스트
DTxt_KR_M06_06,KR,Mission06,Complete,Victor,"감히 신성한 교도소 안에 총기를 들이다니, 내가 직접 교육하도록 하겠어.",(정산)교도소장 대사 성공 텍스트
DTxt_KR_M06_07,KR,Mission06,Fail,Victor,진범을 놓쳤어! 또 총기가 발견됐다고! 이렇게 헛다리를 짚다니. 자네는 해고야!,(정산)교도소장 대사 실패 텍스트
DTxt_KR_M06_08,KR,Mission06,Fin,Frank,"그래, 범인이 누구인지 알겠나?",범인 결정 시 프랭크 텍스트
DTxt_KR_M06_09,KR,Mission06,Choice,Player,범인은 안토니다.,범인 결정 시 선택지 텍스트 1
DTxt_KR_M06_10,KR,Mission06,Choice,Player,범인은 리차드다,범인 결정 시 선택지 텍스트 2
DTxt_KR_M06_11,KR,Mission06,Choice,Player,범인은 레오다,범인 결정 시 선택지 텍스트 3
DTxt_KR_M06_12,KR,Mission06,Dialogue,Suspect1,Suspect2는 지금 거짓말을 하고 있어. 저 녀석이 범인이야,용의자 1 변명 텍스트
DTxt_KR_M06_13,KR,Mission06,Dialogue,Suspect1,놈의 바지에 묻은 얼룩을 봐. 총기 손질할 때 쓰는 윤활유랑 똑같은 색깔이지,용의자 1 변명 텍스트
DTxt_KR_M06_14,KR,Mission06,Dialogue,Suspect1,난 어제 하루 종일 의무실에 있었어.,용의자 1 변명 텍스트
DTxt_KR_M06_15,KR,Mission06,Dialogue,Suspect2,Suspect3는 솔직한 놈이야.,용의자 2 변명 텍스트
DTxt_KR_M06_16,KR,Mission06,Dialogue,Suspect2,범인은 Suspect1이야. 나나 Suspect3는 시력이 안 좋아서 총을 쓰지 않는다고.,용의자 2 변명 텍스트
DTxt_KR_M06_17,KR,Mission06,Dialogue,Suspect2,난 어제 운동장에서 데드리프트를 했어. 내 바지에 묻은 건 운동하다 묻은 검은 구리스일 뿐이야.,용의자 2 변명 텍스트
DTxt_KR_M06_18,KR,Mission06,Dialogue,Suspect3,Suspect1는 거짓말쟁이야. Suspect1의 말을 믿어서는 안 돼.,용의자 3 변명 텍스트
DTxt_KR_M06_19,KR,Mission06,Dialogue,Suspect3,Suspect2는 범인이 아니야. 총기를 손질할 때 쓰는 윤활유는 파란색이라고.,용의자 3 변명 텍스트
DTxt_KR_M06_20,KR,Mission06,Dialogue,Suspect3,난 어제 세탁실에 있었어. 옷은 어제 입은 그대로고.,용의자 3 변명 텍스트
DTxt_KR_M06_21,KR,Mission06,AfterChoice,Frank,좋아. 내가 녀석을 더 자세히 심문하도록 하지. 교도소장님께 가서 보고해,범인 결정 시 프랭크 대사 텍스트
DTxt_KR_M07_01,KR,Mission07,Dialogue,Victor,쥐새끼가 아주 중요한 첩보를 들고 왔다.,(브리핑)교도소장 대사 텍스트 1
DTxt_KR_M07_02,KR,Mission07,Dialogue,Victor,"여기, 7구역 안 죄수들이 폭동을 준비하고 있다는군.",(브리핑)교도소장 대사 텍스트 2
DTxt_KR_M07_03,KR,Mission07,Dialogue,Victor,폭동 예정일은 오늘 새벽. 딱 자네 근무 시간이지.,(브리핑)교도소장 대사 텍스트 3
DTxt_KR_M07_04,KR,Mission07,Dialogue,Victor,녀석들이 폭동을 일으키지 못하도록 전부 다 두들겨 패서 무력화 시켜!,(브리핑)교도소장 대사 텍스트 4
DTxt_KR_M07_05,KR,Mission07,Fin,Victor,죄수들은 전부 진압했나?,(정산)교도소장 대사 공통 텍스트
DTxt_KR_M07_06,KR,Mission07,Complete,Victor,···고생 많았네.,(정산)교도소장 대사 성공 텍스트
DTxt_KR_M07_07,KR,Mission07,Complete,Victor,무사고 7일차를 달성하다니. 믿기지 않는구만.,(정산)교도소장 대사 성공 텍스트
DTxt_KR_M07_08,KR,Mission07,Complete,Victor,자네는 정말 대단한 일을 해냈어.,(정산)교도소장 대사 성공 텍스트
DTxt_KR_M07_09,KR,Mission07,Complete,Victor,"다른 곳에서라면 모르겠지만 여기, 제 7구역에서는 무사고 7일차를 달성한 적이 한 번도 없다고!",(정산)교도소장 대사 성공 텍스트
DTxt_KR_M07_10,KR,Mission07,Complete,Victor,자네가 무사고 날짜를 갱신할 때마다 조마조마하면서도 기대했는데,(정산)교도소장 대사 성공 텍스트
DTxt_KR_M07_11,KR,Mission07,Complete,Victor,진짜로 이렇게 무사고 7일차를 달성하다니.,(정산)교도소장 대사 성공 텍스트
DTxt_KR_M07_12,KR,Mission07,Complete,Victor,"내가 근무하는 동안 한 번이라도 성공할 수 있을 거라고 기대 안 했는데, 정말 고맙네.",(정산)교도소장 대사 성공 텍스트
DTxt_KR_M07_13,KR,Mission07,Complete,Victor,다시 한 번 고생 많았네.,(정산)교도소장 대사 성공 텍스트
DTxt_KR_M07_14,KR,Mission07,Complete,Victor,"앞으로도 이렇게, 무사고 날짜를 갱신해보자고!",(정산)교도소장 대사 성공 텍스트
DTxt_KR_M07_15,KR,Mission07,Fail,Victor,"이번에야 말로 무사고 7일을 찍어보나 했는데, 결국 실패구만. 어쩔 수 없지.",(정산)교도소장 대사 실패 텍스트
DTxt_KR_M07_16,KR,Mission07,Dialogue,Frank,죄수 새끼들과의 전투는 늘 조심해야 해.,프랭크가 책상에서 하는 대사
DTxt_KR_M07_17,KR,Mission07,Dialogue,Frank,"녀석들의 공격은 피하고, 네 공격은 맞춰야 하지. 뭐, 그게 어려운 거지만.",프랭크가 책상에서 하는 대사
